id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
9449,The Borrowers,29000000.0,22619699,Action,False,1997-12-05,6.003,487,87,,-22.001037931034485
9449,The Borrowers,29000000.0,22619699,Comedy,False,1997-12-05,6.003,487,87,,-22.001037931034485
9449,The Borrowers,29000000.0,22619699,Family,False,1997-12-05,6.003,487,87,,-22.001037931034485
533991,Stree,2800000.0,21000000,Horror,True,2018-08-31,6.923,163,128,Maddock Horror Comedy Universe,650.0
533991,Stree,2800000.0,21000000,Comedy,True,2018-08-31,6.923,163,128,Maddock Horror Comedy Universe,650.0
43894,Naughty Marietta,782000.0,2057000,Music,False,1935-03-29,5.381,21,103,,163.04347826086956
43894,Naughty Marietta,782000.0,2057000,Romance,False,1935-03-29,5.381,21,103,,163.04347826086956
15772,Guru,4700000.0,31000000,Drama,False,2007-01-12,6.807,127,166,,559.5744680851064
15772,Guru,4700000.0,31000000,Romance,False,2007-01-12,6.807,127,166,,559.5744680851064
67660,Think Like a Man,12000000.0,96070507,Comedy,True,2012-04-20,6.8,854,122,Think Like a Man Collection,700.5875583333333
67660,Think Like a Man,12000000.0,96070507,Romance,True,2012-04-20,6.8,854,122,Think Like a Man Collection,700.5875583333333
34653,A Single Man,7000000.0,25000000,Drama,False,2009-12-11,7.3,1577,100,,257.14285714285717
34653,A Single Man,7000000.0,25000000,Romance,False,2009-12-11,7.3,1577,100,,257.14285714285717
266396,The Gunman,40000000.0,13644292,Action,False,2015-02-16,5.752,971,115,,-65.88927
266396,The Gunman,40000000.0,13644292,Drama,False,2015-02-16,5.752,971,115,,-65.88927
266396,The Gunman,40000000.0,13644292,Crime,False,2015-02-16,5.752,971,115,,-65.88927
15450,Tyler Perry's The Family That Preys,15000000.0,37100000,Drama,False,2008-09-12,6.8,87,110,,147.33333333333334
15450,Tyler Perry's The Family That Preys,15000000.0,37100000,Romance,False,2008-09-12,6.8,87,110,,147.33333333333334
2176,The Glass House,30000000.0,23619609,Drama,True,2001-09-14,5.944,1027,107,The Glass House Collection,-21.26797
2176,The Glass House,30000000.0,23619609,Thriller,True,2001-09-14,5.944,1027,107,The Glass House Collection,-21.26797
9920,Ultraviolet,30000000.0,31070211,Science Fiction,False,2006-03-03,5.223,1630,87,,3.5673700000000004
9920,Ultraviolet,30000000.0,31070211,Action,False,2006-03-03,5.223,1630,87,,3.5673700000000004
9920,Ultraviolet,30000000.0,31070211,Thriller,False,2006-03-03,5.223,1630,87,,3.5673700000000004
7007,Rising Sun,40000000.0,107198790,Action,False,1993-07-30,6.146,782,125,,167.996975
7007,Rising Sun,40000000.0,107198790,Drama,False,1993-07-30,6.146,782,125,,167.996975
7007,Rising Sun,40000000.0,107198790,Thriller,False,1993-07-30,6.146,782,125,,167.996975
28032,Thumbelina,28000000.0,17000000,Animation,False,1994-03-30,6.417,509,86,,-39.285714285714285
28032,Thumbelina,28000000.0,17000000,Fantasy,False,1994-03-30,6.417,509,86,,-39.285714285714285
28032,Thumbelina,28000000.0,17000000,Romance,False,1994-03-30,6.417,509,86,,-39.285714285714285
28032,Thumbelina,28000000.0,17000000,Music,False,1994-03-30,6.417,509,86,,-39.285714285714285
28032,Thumbelina,28000000.0,17000000,Family,False,1994-03-30,6.417,509,86,,-39.285714285714285
11395,The Santa Clause,22000000.0,189833357,Fantasy,True,1994-11-11,6.494,2137,97,The Santa Clause Collection,762.8788954545454
11395,The Santa Clause,22000000.0,189833357,Drama,True,1994-11-11,6.494,2137,97,The Santa Clause Collection,762.8788954545454
11395,The Santa Clause,22000000.0,189833357,Comedy,True,1994-11-11,6.494,2137,97,The Santa Clause Collection,762.8788954545454
11395,The Santa Clause,22000000.0,189833357,Family,True,1994-11-11,6.494,2137,97,The Santa Clause Collection,762.8788954545454
454293,Night School,29000000.0,33157615,Comedy,False,2018-09-27,6.145,1703,111,,14.336603448275861
414453,Columbus,700000.0,1015744,Drama,False,2017-08-04,7.112,416,104,,45.10628571428572
323675,Ride Along 2,40000000.0,124827316,Action,True,2016-01-14,6.252,1720,102,Ride Along Collection,212.06829
323675,Ride Along 2,40000000.0,124827316,Comedy,True,2016-01-14,6.252,1720,102,Ride Along Collection,212.06829
82696,Hope Springs,30000000.0,114281051,Drama,False,2012-08-07,6.254,792,100,,280.93683666666664
82696,Hope Springs,30000000.0,114281051,Comedy,False,2012-08-07,6.254,792,100,,280.93683666666664
